"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R11";"R_0805_2012Metric";1;"R1K";;;
2;"D2,D1";"D_SOD-123";2;"D_Schottky";;;
3;"C3,C6";"C_0805_2012Metric";2;"10uF";;;
4;"U2";"CC1101-868MHz-Module";1;"CC1101-868MHz-Module";;;
5;"SW1";"SW_SPST_PTS810";1;"Fail safe";;;
6;"C4";"C_Elec_6.3x7.7";1;"470uF";;;
7;"J5";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_02x02_Odd_Even";;;
8;"H2";"MountingHole_2.5mm";1;"MountingHole";;;
9;"ATtiny1614";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATtiny1614-SS";;;
10;"J4";"TC2020-MCP-NL";1;"TC2030-MCP-NL";;;
11;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM";;;
12;"R10,R8,R7,R6,R4,R3,R2,R1";"R_0805_2012Metric";8;"R10K";;;
13;"LED1";"LED_0805_2012Metric";1;"WIFI status";;;
14;"R9,R5";"R_0805_2012Metric";2;"R100";;;
15;"J1";"PinHeader_1x07_P2.54mm_Vertical";1;"CONN_01X07";;;
16;"C5";"C_0805_2012Metric";1;"0.1uF";;;
17;"C2";"C_0805_2012Metric";1;"1uF";;;
18;"J3";"SMA_Amphenol_132289_EdgeMount";1;"Conn_Coaxial";;;
19;"LED2";"LED_0805_2012Metric";1;"itho status";;;
20;"C1";"L_0805_2012Metric";1;"0,1uF";;;
21;"Q2,Q1";"SOT-23";2;"BSS138";;;
22;"R-78E3.3";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"U2";;;
23;"J2";"PinSocket_2x04_P2.54mm_Vertical";1;"conn";;;
